NEXTPM25,PM25,AQI,TEMP,DEWP,WDSP,MXSPD,MAX_,MIN_,PRCP,YEARMODA
13.6699,151.194,196.0234,74.7,62.4,5.3,9.7,86.0,60.8,0.0,2014-09-07
35.5244,13.6699,37.5178,71.2,48.7,3.9,7.8,84.7,57.2,0.0,2014-09-08
65.6447,35.5244,66.2769,73.3,57.2,3.7,7.8,85.1,60.6,0.0,2014-09-09
83.9272,65.6447,95.8487,74.0,59.0,4.0,7.8,84.6,64.4,0.0,2014-09-10
72.8534,83.9272,112.8642,71.7,64.5,3.5,9.7,80.4,66.2,0.02,2014-09-11
67.4765,72.8534,97.8893,69.9,63.2,2.8,5.8,77.0,64.4,0.02,2014-09-12
42.6036,67.4765,91.8423,72.0,58.8,4.3,9.7,82.4,64.0,0.0,2014-09-13
18.8561,42.6036,67.4964,64.8,48.9,4.6,9.7,75.2,51.8,0.0,2014-09-14
37.5632,18.8561,41.9388,69.4,40.3,5.6,9.7,84.2,53.6,0.0,2014-09-15
53.0661,37.5632,67.8556,64.9,51.4,3.6,7.8,71.8,56.5,0.0,2014-09-16
62.4728,53.0661,79.0039,62.9,53.0,3.9,7.8,73.4,51.8,0.0,2014-09-17
85.2566,62.4728,88.2109,68.1,50.1,3.7,5.8,82.4,53.6,0.0,2014-09-18
121.9513,85.2566,115.0066,67.9,59.8,4.0,7.8,77.2,57.7,0.06,2014-09-19
101.5852,121.9513,159.7727,71.0,60.4,3.6,9.7,80.8,64.0,0.04,2014-09-20
94.4693,101.5852,133.0032,70.7,60.2,4.2,5.8,77.0,63.0,0.0,2014-09-21
48.9325,94.4693,125.0469,67.5,63.7,4.3,7.8,72.3,64.4,0.07,2014-09-22
33.7706,48.9325,67.3452,63.5,61.5,3.6,7.8,66.0,60.8,0.61,2014-09-23
110.069,33.7706,49.9677,67.0,59.2,3.1,7.8,78.8,57.2,0.0,2014-09-24
127.0363,110.069,145.7966,66.4,61.9,3.7,7.8,72.3,59.0,0.0,2014-09-25
30.3333,127.0363,166.198,64.1,60.0,5.0,9.7,75.4,53.6,0.0,2014-09-26
58.2887,30.3333,50.3954,66.3,51.6,3.0,7.8,77.9,57.2,0.0,2014-09-27
52.7104,58.2887,85.0515,64.3,58.4,3.1,7.8,73.4,57.2,0.0,2014-09-28
24.1697,52.7104,77.3434,62.4,41.0,7.1,13.6,75.2,50.9,0.0,2014-09-29
0.0,24.1697,46.0397,54.2,37.9,3.6,5.8,60.8,50.0,0.0,2014-09-30
55.9061,68.4626,93.032,52.5,49.3,4.5,9.7,59.7,48.2,0.4,2014-10-01
92.5159,55.9061,77.4188,60.2,53.6,3.5,5.8,69.8,47.8,0.12,2014-10-02
75.3504,92.5159,123.1825,59.7,55.8,3.7,9.7,66.0,53.8,0.06,2014-10-03
35.6495,75.3504,101.122,56.5,54.9,3.2,7.8,62.4,50.0,0.0,2014-10-04
26.2,35.6495,53.9227,56.9,41.3,6.4,13.6,71.6,42.8,0.0,2014-10-05
140.4036,26.2,45.9238,57.2,40.3,3.5,7.8,70.7,42.8,0.0,2014-10-06
261.6892,140.4036,179.3229,58.0,49.6,2.5,5.8,70.7,48.4,0.0,2014-10-07
332.0076,261.6892,310.3851,59.0,54.3,2.2,5.8,69.1,51.8,0.01,2014-10-08
295.9762,332.0076,377.9885,61.2,56.8,2.1,3.9,72.0,53.6,0.0,2014-10-09
193.0912,295.9762,345.3056,63.3,58.4,3.6,5.8,73.4,55.8,0.0,2014-10-10
6.7288,193.0912,233.9333,62.2,49.7,7.9,15.5,69.8,55.4,0.0,2014-10-11
13.6786,6.7288,17.4542,54.8,28.1,6.2,9.7,66.2,37.4,0.0,2014-10-12
43.1443,13.6786,30.2727,49.6,27.5,4.0,7.8,64.6,37.4,0.0,2014-10-13
43.6071,43.1443,68.4393,55.3,36.0,4.8,9.7,71.6,39.2,0.0,2014-10-14
33.7893,43.6071,79.5292,56.5,25.9,9.5,21.4,73.4,35.6,0.0,2014-10-15
95.8374,33.7893,68.9766,55.4,31.2,5.5,15.5,71.6,39.2,0.0,2014-10-16
155.6032,95.8374,130.3875,57.7,42.1,3.6,7.8,75.2,43.7,0.0,2014-10-17
249.5194,155.6032,197.2968,62.1,50.1,2.3,5.8,75.9,46.2,0.0,2014-10-18
200.1697,249.5194,298.5116,61.2,53.8,3.8,7.8,69.8,50.0,0.0,2014-10-19
37.1049,200.1697,248.789,58.6,49.6,3.7,9.7,64.4,53.6,0.0,2014-10-20
73.7338,37.1049,68.8601,50.1,32.1,3.5,7.8,59.4,42.8,0.0,2014-10-21
125.068,73.7338,104.4164,52.7,43.6,2.5,5.8,58.5,46.0,0.0,2014-10-22
213.2432,125.068,164.3786,53.1,46.0,2.7,5.8,61.5,46.4,0.0,2014-10-23
234.5,213.2432,262.3436,54.9,50.8,3.0,5.8,64.9,46.4,0.0,2014-10-24
0.0,234.5,284.5,57.8,51.9,4.5,13.6,66.2,50.0,0.0,2014-10-25
152.8561,111.7025,148.5253,53.6,42.8,2.3,5.8,60.8,43.7,0.0,2014-10-29
150.935,152.8561,198.9368,54.2,46.3,2.1,3.9,59.4,51.8,0.0,2014-10-30
0.0,150.935,196.6354,53.6,47.8,2.8,5.8,59.7,39.2,0.0,2014-10-31
7.0592,62.122,88.9686,54.5,21.0,12.5,21.4,61.0,44.6,0.0,2014-11-01
21.9524,7.0592,26.899,47.8,17.1,8.5,19.4,59.0,32.0,0.0,2014-11-02
95.8609,21.9524,44.7341,50.1,26.4,3.9,7.8,66.2,32.0,0.0,2014-11-03
78.058,95.8609,128.3826,45.7,33.4,3.3,7.8,59.7,33.8,0.0,2014-11-04
