avg(PM25),avg(AQI),PUBLISHED_TIME
147.4615,194.8462,2014-09-06 00:00:00
147.6154,195.7692,2014-09-06 01:00:00
144.2308,191.0769,2014-09-06 02:00:00
141.6923,188.0,2014-09-06 03:00:00
144.2308,190.7692,2014-09-06 04:00:00
142.7692,188.7692,2014-09-06 05:00:00
136.1429,178.7143,2014-09-06 06:00:00
131.7692,174.1538,2014-09-06 07:00:00
132.9231,175.3077,2014-09-06 08:00:00
139.1667,183.5833,2014-09-06 09:00:00
146.1667,192.5833,2014-09-06 10:00:00
147.4615,193.5385,2014-09-06 11:00:00
149.5385,196.6923,2014-09-06 12:00:00
152.2308,199.2308,2014-09-06 13:00:00
152.2308,200.0,2014-09-06 14:00:00
143.2308,189.9231,2014-09-06 15:00:00
127.2308,167.6154,2014-09-06 16:00:00
114.0,150.3077,2014-09-06 17:00:00
113.9231,149.9231,2014-09-06 18:00:00
120.3846,158.5385,2014-09-06 19:00:00
129.0,170.0769,2014-09-06 20:00:00
139.0,183.6154,2014-09-06 21:00:00
146.1538,193.0769,2014-09-06 22:00:00
144.4615,191.1538,2014-09-06 23:00:00
152.4615,199.6154,2014-09-07 00:00:00
153.0769,200.8462,2014-09-07 01:00:00
148.4615,194.9231,2014-09-07 02:00:00
143.8462,189.5385,2014-09-07 03:00:00
152.8462,201.2308,2014-09-07 04:00:00
160.9231,210.5385,2014-09-07 05:00:00
167.2308,217.2308,2014-09-07 06:00:00
169.7692,219.7692,2014-09-07 07:00:00
177.7692,227.7692,2014-09-07 08:00:00
187.3846,237.3846,2014-09-07 09:00:00
197.9231,247.9231,2014-09-07 10:00:00
204.9231,254.9231,2014-09-07 11:00:00
198.3077,248.3077,2014-09-07 12:00:00
163.5385,211.3077,2014-09-07 13:00:00
126.6923,165.2308,2014-09-07 14:00:00
112.6923,147.4615,2014-09-07 15:00:00
113.0,148.7692,2014-09-07 16:00:00
114.7692,151.1538,2014-09-07 17:00:00
120.0,158.0769,2014-09-07 18:00:00
126.6154,167.2308,2014-09-07 19:00:00
128.2308,169.3077,2014-09-07 20:00:00
130.3077,172.3077,2014-09-07 21:00:00
126.6923,167.6923,2014-09-07 23:00:00
84.4615,114.2308,2014-09-08 00:00:00
21.6154,36.2308,2014-09-08 01:00:00
9.6154,24.0,2014-09-08 02:00:00
8.9167,24.9167,2014-09-08 03:00:00
6.6923,21.6923,2014-09-08 04:00:00
4.2308,19.0,2014-09-08 05:00:00
6.3333,19.8333,2014-09-08 06:00:00
6.3846,31.0769,2014-09-08 07:00:00
6.9231,24.2308,2014-09-08 08:00:00
6.6154,21.9231,2014-09-08 09:00:00
6.5,21.9167,2014-09-08 10:00:00
5.3846,21.3846,2014-09-08 11:00:00
4.3846,23.6923,2014-09-08 12:00:00
7.2308,26.7692,2014-09-08 13:00:00
5.2308,29.2308,2014-09-08 14:00:00
7.4615,31.5385,2014-09-08 15:00:00
7.1538,36.4615,2014-09-08 16:00:00
10.2308,39.0,2014-09-08 17:00:00
11.0769,47.6154,2014-09-08 18:00:00
14.7692,54.0769,2014-09-08 19:00:00
19.4615,58.5385,2014-09-08 20:00:00
21.4615,59.0769,2014-09-08 21:00:00
20.6923,54.6923,2014-09-08 22:00:00
23.7692,55.7692,2014-09-08 23:00:00
27.0,60.3846,2014-09-09 00:00:00
28.4615,58.0769,2014-09-09 01:00:00
29.1538,55.5385,2014-09-09 02:00:00
30.6154,58.4615,2014-09-09 03:00:00
27.0,51.0,2014-09-09 04:00:00
23.8462,42.8462,2014-09-09 05:00:00
19.0,37.6154,2014-09-09 06:00:00
18.2308,43.5385,2014-09-09 07:00:00
16.8462,45.3846,2014-09-09 08:00:00
19.0,49.3077,2014-09-09 09:00:00
